Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013754","1","AUSEKLIS (IMO 8315956)","AUSEKLIS: Unknown/unspecified","LVA","2021-12-31 21:00","Very serious","740499N 0030000E","Open sea","2","0","Fire or explosion","On January 1, 2022, the Transport Accident and Incident Investigation Bureau (hereinafter referred to as the Bureau) received a report by phone from representatives of the Maritime Administration of Latvia, that fire broke out on the fishing trawler AUSEKLIS in the Barents Sea. The ship's management and crew acted professionally in accordance with standard shipboard accident/emergency procedures and within 10 minutes the fire was extinguished, but the engine room central electric panel burned, the ship lost propulsion and power.v The master of the ship sent a MAYDAY signal at 01.40 (4 minutes after the fire started), receiving immediate confirmation from the Norwegian Coast Guard. The rescue ship BISON left the port of Batsfjord at 02.53 to provide assistance to the ship AUSEKLIS, reaching it at 22.10. As a result of the rescue operation, the ship was towed to the port of Hammerfest in Norway on January 04, 2022. Crew 23 people, no injuries.","Fish Catching Vessel","Ship rendered unfit to proceed","1410","Bureau Veritas (BV)","883","","23","0","","0","0","0","0","0","0","2023-02-07",""
"C0013638","1","EL LEÓN VI (-)","EL LEÓN VI: Non-SOLAS","ARG","2021-12-30 18:00","Serious","342055S 0583125W","Aguas Interiores, Canal Honda, Tigre, Buenos Aires","0","0","Fire or explosion","El 30 de diciembre de 2021 a las 18:00 horas la lancha de pasajeros tipo colectivo EL LEÓN VI, navegaba con pasajeros a bordo por el Canal Honda con destino al puerto de Tigre cuando se detectó la presencia de humo en proximidades del motor en la zona media de la embarcación. Posteriormente se observó fuego y las personas a bordo abandonaron la embarcación. Como consecuencia del suceso la embarcación sufrió daños materiales, no se reportaron víctimas fatales ni personas lesionadas.","Passenger Ship","Ship rendered unfit to proceed","14","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013829","1","ASIATIC SUN (IMO 9402768)","ASIATIC SUN: SOLAS","SGP","2021-12-26 07:33","Serious","241820N 1203609E","Taichung port","1","0","Contact","On the morning of 26 December 2021, at about 0733H, the Singapore registered container vessel, Asiatic Sun (AS) crashed to the no.8A pier, at Taichung Port, Taiwan while berthing under pilotage. The accident did not result in any fatality or injury to personnel and did not result in any pollution. 

The incident vessel suffered structural damage to its bow, the deck area at the bow was distorted downward and cracked at the port side, the reinforced anchor recess was broken, and its shell plate area was distorted. The extent of the damage to the 8A pier was about 10m in length and 4m in width, one rubber fender affixed to the pier’s structure was damaged.
","Container Ship (Fully Cellular)","Ship rendered unfit to proceed","9610","American Bureau of Shipping (ABS)","12774","Container","18","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-06-22",""
"C0013340","1","Avijan-10 (-)","Avijan-10: Unknown/unspecified","BGD","2021-12-24 03:00","Very serious"," ","Bangladesh","0","0","Fire or explosion","MV Avijan-10 while traveling from  from Dhaka, the capital, to Barguna, about 250km (155 miles) to the south, caught fire off the coast of Jhalokati district on the Sugandha River, toward the end of the journey.
The fire resulted in 39 losses and 70 injuries.","Passenger Ship","Loss of life,Serious injuries,Total loss of the ship","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013666","2","TROPIC BREEZE (IMO 8906315), UTOPIA IV (IMO 9851050)","TROPIC BREEZE: Unknown/unspecified, UTOPIA IV: Unknown/unspecified","BLZ,USA","2021-12-23 02:03","Very serious","252704N 0773700W","Berry Islands","1","0","Collision","Collision between Tropic breeze tanker and Utopia 4 super yacht causing the tanker to sink - no loss of life","Products Tanker","","348","","750","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-06-13",""
"C0013760","1","HEBEI UNIVERSE (IMO 9420590)","HEBEI UNIVERSE: SOLAS","HKG","2021-12-17 21:30","Very serious","354400N 1210150E","Qing Dao Anchorage","1","0","fatal accident occurred on cage top of elevator","On 17 December 2021, a fatal accident happened on board the Hong Kong registered bulk carrier “Hebei Universe” (the vessel) at Qingdao Chaoliangdao anchorage, China.
At 1735 hours, the duty Oiler (the Oiler) informed the Electrician Officer (the ETO) that the common alarm (the alarm) of the elevator of the vessel (the elevator) activated. The ETO replied that he would check the elevator the next day. At 2130 hours, the duty Engine Trainee (the M/M) discovered some blood came out from the entrance door of the elevator (the entrance door) on the upper deck and immediately reported the situation to the Third Engineer (the 3/E). The 3/E shouted to the entrance door but nobody answered. He then immediately reported the incident to the Chief Engineer (the C/E) and the Master. The engine room crew removed the entrance door on the upper deck and found the ETO was unconscious, lying on the cage top of the elevator bleeding from his nose and mouth. Afterwards, the vessel shifted to the inner anchorage of Qingdao with the permission of the port authority to seek shore medical treatment for the ETO. Unfortunately, the ETO was declared dead after the examination by the shore medical officer in the early morning of 18 December 2021.","Bulk Carrier","Loss of life,Ship remains fit to proceed","94710","China Classification Society (CCS)","182459","","23","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-02-13",""
"C0013733","1","LITE FERRY 10 (IMO 8618695)","LITE FERRY 10: SOLAS","PHL","2021-12-16 00:00","Very serious","095200N 1235000E","Catagbacan, Bohol, Philippines","0","0","Wrecked/stranded","Stranded after dragging anchor, capsized and partially sank whilst moored off Catagbacan, Bohol, Philippines in lat. 09° 52' 32"" N, long. 123° 50' 03"" E on 16/12/21 in heavy weather from typhoon 'Odette'. Philippine coast guard vessels and MVS 'LCT Poseidon 24' and 'Lite Ferry 88' rescued 25 crew. The master went missing and his body was recovered from the nearby mangroves 2 days later. Wreck abandoned in situ.","Passenger/Ro-Ro Ship (Vehicles)","Loss of life,Total loss of the ship","999","","423","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013679","1","BELLONA (IMO 6514376)","BELLONA: SOLAS","ROU","2021-12-14 09:00","Very serious","431200N 0274700E","Varna MTG Shipyard","2","0","Fire or explosion","On December 14, 2021 m/v Bellona was located in the shipyard “MTG – Dolphin” for repair works.
On December 13, 2021 in one of the ballast tanks hot work took place for cutting some bolts (to dismantle a valve). 
It was done by workers of the subcontractor company ” Galera 07”.
On the morning of December 14, 2021, 2 workers from the company re-entered the tank.
No new hot works were planned for the day. Nevertheless a fire broke out a little later.
After the fire was extinguished, one of the workers was found dead.","Products Tanker","Loss of life,Ship remains fit to proceed","2460","","3794","","","","","0","0","1","0","0","0","2023-05-16",""
"C0013694","1","Curacao Trader (IMO 9340908)","Curacao Trader: Unknown/unspecified","MLT","2021-12-13 16:31","Serious","172848N 0630033W","Coastal waters (within 12 miles)","1","0","Fire or explosion","Whilst Curacao Trader was manoeuvring towards the designated anchorage area, off St. Eustatius, a fire broke out in the engine-room, in the vicinity of diesel generator no. 2. The crew members evacuated the engine-room, following which, the fire was extinguished using the vessels fixed firefighting system. While none of the crew members were injured, the vessel sustained significant damages, which took more than three months to repair. The safety investigation concluded that diesel oil sprayed out from a connection on diesel generator no. 2s fuel filter assembly, due to a damaged O-ring, and ignited after coming into contact with hot surfaces.","Chemical Tanker","Ship rendered unfit to proceed","7687","Bureau Veritas (BV)","11255","Other liquid","17","0","0","0","0","0","0","0","0","2023-01-05",""
"C0013676","1","RYON HWA 3 (IMO 8312227)","RYON HWA 3: SOLAS","PRK","2021-12-13 15:30","Very serious","301631N 1221694E","Xiaochangtu Shan, Zhoushan, China","1","0","Stranding / grounding","At about 1530 on 13 September, 2021, a general cargo ship Ryonhwa 3 at anchor, was stranded on the breakwater(30°16.32′N 122°16.947′E) off Xiaochangtu Shan, Zhoushan, China, due to No.14 of Typhoon, resulted in constructive total loss with no loss of life.","General Cargo Ship","Total loss of the ship","5463","","7226","","25","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-12-12",""
