Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013314","1","ONEGA (IMO 7825590)","ONEGA: Non-SOLAS","RUS","2020-12-28 04:12","Very serious","720500N 0503300E","Sea Barents fishing grounds","2","0","Capsizing / listing","28.12.2020 at 04.12 in the Barents Sea, in the area west of the Gusinaya Zemlya Peninsula, Novaya Zemlya Island, the fishing vessel tail number MK-0331 ""Onega"" during fishing for aquatic biological resources, received a roll of about 20° - 30° on the starboard side and subsequently sank quickly, due to the gradual flow of water to the deck of the fish shop, through the starboard port open during the sampling of the tier in difficult hydrometeorological conditions, constant icing of the vessel, inefficient operation dehumidification pumps of the fish shop, in the absence of control over the stability of the vessel.
Of the 19 crew members (all citizens of the Russian Federation) on board, 2 crew members were rescued by the approaching fishing vessel ""VOIKOVO"". 17 crew members were missing 
","Fishing Vessel","Loss of life,Total loss of the ship","358","Russian Maritime Register of Shipping (RMRS)","156","","19","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2021-11-29",""
"C0013431","1","KHARAZM (IMO 9442897)","KHARAZM: Unknown/unspecified","IRN","2020-12-26 18:30","Very serious","263900N 0564600E","Strait of Hormuz, 18 miles SW of Kuhestak, Iran","1","0","Capsizing / listing","The ship took water, capsized and sank in the Strait of Hormuz, 18 miles SW of Kuhestak, Iran in LAT. 26 39'11 N, LONG 056 46'46 E at 1830 hours LT on 26 December 2020 in heavy weather. Iranian SAR vessel 'NAJI 12' with divers on board was despatched to the scene and found the capsized vessel drifting further SW into the TSS 5 miles NE of As Salamah, Oman in LAT. 26 33'12""N, LONG 056 333'54""on 28 December 2020. The bodies of two of the crew were recovered and the remaining 5 crew were missing. ","Landing Craft","Loss of life,Total loss of the ship","495","ASIA Classification Society (ACS)","1000","","7","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-09-05",""
"C0013341","1","MAERSK ELBA (IMO 9458078)","MAERSK ELBA: Unknown/unspecified","DNK","2020-12-26 00:00","Serious","364563N 0084757W","Open sea","2","0","Damages to ship or equipment","During slown down of main engine 15 nautical miles off shore, en route to port of destination a fire developed in one of the auxiliary engines causing a black out. Fire extinguished by CO2. After the black out the ship drited towards the Portugese shore and the ship succeded in emergency anchoring 1,7 nautilcal miles from the shore. The anchor held the ship in position. Later the ship was towed by tugboats to Algeciras in Spain for repairs.","Container Ship","Ship rendered unfit to proceed","141716","","148723","","35","0","0","0","0","0","0","0","0","2021-12-28",""
"C0013227","1","CHEM SINYOO (IMO 9248461)","CHEM SINYOO: SOLAS","MHL","2020-12-21 09:00","Very serious","094500N 1103700E","South China Sea","1","0","Loss of Life","A crewmember was struck by a wave while working on the forecastle and was subsequently pronounced deceased from his injuries.","Chemical/Products Tanker","Loss of life","15148","DNV GL AS","24404","","22","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2021-09-01",""
"C0013567","1","DANUM 175 (IMO 9248930)","DANUM 175: SOLAS","MYS","2020-12-21 03:07","Very serious","011729N 1034570E","Pasir Panjang Terminal 1","2","0","Fall overboard into the sea while doing unlashing of container","On the morning of 21 December 2020, in fine weather and good visibility, Danum 175 loaded with 3,222 metric tonnes of general cargoes in 803 TEUs, arrived Singapore and was moored port side alongside to its assigned berth at Pasir Panjang Terminal 1.
On completion of arrival formalities, the Chief Officer was informed by the Lashing Foreman that the shore stevedores would only do the lashing/ unlashing of the inboard containers at bay 18, citing PSA’s two-man requirement which could not be achieved due
to inadequate space on the pedestal platform to perform the work safely for the containers at the outboard rows. The Chief Officer then arranged for the ship’s crew to remove the lashing of containers at the outboard rows.

At about 0300H, two deck crew were assigned for the task, wearing their standard personal protective equipment comprising safety helmet, safety shoes and gloves, and proceeded to bay 18 port side. A few minutes later, one of the deck crew fell overboard
while removing the long lashing rod from the 3rd tier container at the outboard row. The fallen crew was later retrieved by divers at about 0615H and pronounced dead.","Container Ship (Fully Cellular)","Loss of life","14308","Bureau Veritas (BV)","16442","","18","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-06-30",""
"C0013264","1","PADEREWSKI (IMO 9731389)","PADEREWSKI: Unknown/unspecified","CYP","2020-12-21 00:00","Very serious","391561N 0762899W","Port","2","0","","During operation of repositioning of pontoons in cargo hold no.1 A/B (Philippines), has been smashed by pontoon to the cargo hold wall causing his death.","General Cargo Ship","Loss of life","24778","","31673","","21","0","","1","0","0","0","0","0","2021-07-06",""
"C0013220","1","KOTA BAHAGIA (IMO 9593672)","KOTA BAHAGIA: SOLAS","SGP","2020-12-18 11:00","Serious","392880S 1765520E","Napier","1","0","Fire or explosion","Fire in Number 2 cargo hold. No fatalities.","General Cargo Ship","Ship rendered unfit to proceed","18189","Lloyd's Register (LR)","24964","Project cargo","19","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-08-29",""
"C0013427","1","XIN HONG (IMO 9205524)","XIN HONG: Unknown/unspecified","PAN","2020-12-17 00:00","Very serious","102700N 1085700E","3 MILES S OF DAO PHU QUY, BINH THUAN, VIETNAM","1","0","Capsizing / listing","The ship developed a list and san while underway   in the south China sea 3 miles s of Dao phu quy, binh thuan, Vietnam in lat. 10 27' 18""n, long. 108 57' 12""e at 16:30 hours lt (utc+7) on 17/12/20 in heavy weather.
All 15 crew abandoned the vessel. The local authorities effected SAR operations. 11 crew were rescued, 2 bodies recovered and the remaining 2 crew missing. The rescued crew were taken ashore for medical attention.","General Cargo Ship","Loss of life,Total loss of the ship","6178","","8537","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-05-04",""
"C0013210","1","MARE (IMO 8411671)","MARE: SOLAS","VUT","2020-12-14 22:08","Very serious","431200N 0275200E","Black Sea/Varna Lake","1","0","2 Crew members over board - 1 died","On 14/12/2020, at around 2208 LT, two members of the crew of m/v“MARE”, IMO 8411671, flag of Vanuatu, fell overboard.

At that time the ship was in Canal № 1, maneuvering to leave the port of Varna. SAR operation was immediately started by the shore authorities.

One of the seamen was found alive 20 minutes later and sent to the hospital for further examination.

The other one was missing and found dead in March 2021.

Both of them are citizens of Republic of Turkey.","General Cargo Ship","Loss of life","998","Bulgarian Register of Shipping BRS (BRS)","1494","","7","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2021-12-27",""
"C0013134","1","FPMC B 102 (IMO 9481635)","FPMC B 102: SOLAS","LBR","2020-12-14 11:10","Very serious","081710N 1321210E","At sea","1","0","Fatal incident during Hatch Cover operation","On December 14, 2020 about 1110 LT, while, the vessel sailed from Kaohsiung, Taiwan to Haypoint, Australia at sea position Lat 08-17.1 N Long 132-12.1 E, while closing the hatch cover at the cargo hold No.4, the Bosun who was assigned to release the locking hooks had positioned at Starboard side forward part had fatal head injury and deceased. The weather recorded as Wind-E x 4, Sea-4, Swell-3, Blue sky with good visibility.","Bulk Carrier","Loss of life","62272","American Bureau of Shipping (ABS)","104990","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2021-05-04",""
